,id,building_type,building_subtype,price,living_area,frontages,bedrooms,bathrooms,liv_room_surf,kitchen_type,showers,toilets,basement,terrace,garden,elevator,swimming_pool,status_build,furnished,energy_class,heating,flood_zone,surroundings,zipcode,municipality,province
4247,10566893,apartment,apartment,239000.0,84.0,1.0,2.0,1.0,29.0,3.0,,1.0,,0,0,0.0,0.0,3.0,,6,Gas,Non flood zone,"Living area (residential, urban or rural)",2100,Deurne,Antwerp
4248,10499884,apartment,apartment,189000.0,77.0,,1.0,,,3.0,,1.0,,0,0,,,3.0,0.0,6,Gas,Non flood zone,,8870,Kachtem,West Flanders
4249,10545777,other-property,bungalow,,153.0,4.0,2.0,1.0,35.0,1.0,,2.0,,80,0,,0.0,3.0,,1,Fuel oil,Property partially or completely located in a circumscribed flood zone,,4600,Visé,Liège
4250,10441629,apartment,apartment,192000.0,61.0,3.0,1.0,1.0,,1.0,,1.0,1.0,6,0,1.0,,,,1,,Non flood zone,"Living area (residential, urban or rural)",2300,Turnhout,Antwerp
4251,10542973,house,house,149000.0,90.0,2.0,2.0,1.0,15.0,,,,,0,0,,,,0.0,3,Fuel oil,,,4141,Sprimont,Liège
4252,10359906,apartment,apartment,265000.0,87.0,,2.0,1.0,27.0,3.0,1.0,1.0,1.0,4,0,1.0,0.0,2.0,0.0,4,Gas,Non flood zone,Urban,1080,Molenbeek-Saint-Jean,Brussels Capital Region
4253,10548287,apartment,apartment,60000.0,35.0,,1.0,1.0,,,,1.0,,0,0,,,3.0,,4,,,,5550,Vresse-Sur-Semois,Namur
4254,10553586,apartment,duplex,,,,2.0,,,,,,,0,0,,,,,5,,,,4400,Mons-Lez-Liège,Liège
4255,10566941,apartment,apartment,265000.0,96.0,4.0,2.0,2.0,40.0,1.0,,1.0,1.0,5,0,1.0,,,,1,Gas,,,1470,Genappe,Walloon Brabant
4256,10492918,house,house,,,3.0,2.0,,,,,,,0,0,,,,,3,,,,6042,Jumet,Hainaut
4257,10346019,house,house,199500.0,200.0,,2.0,1.0,,1.0,,1.0,1.0,0,407,,,2.0,,3,,,,7333,Saint-Ghislain,Hainaut
4258,10593396,house,house,79999.0,300.0,3.0,3.0,,60.0,,,,,0,500,,,1.0,,1,,,,6530,Thuin,Hainaut
4259,10599742,apartment,apartment-block,169000.0,165.0,2.0,3.0,5.0,,1.0,5.0,5.0,,0,0,0.0,0.0,0.0,0.0,5,Fuel oil,Non flood zone,Urban,4020,Wandre,Liège
4260,10517706,apartment,ground-floor,,94.0,2.0,2.0,1.0,,1.0,,1.0,,0,0,1.0,,2.0,,6,Gas,Non flood zone,,8301,Knokke,West Flanders
4261,10584239,house,house,,,4.0,3.0,,,,,,,0,0,,,,,1,,,,4684,Oupeye,Liège
4262,10468505,house,house,230000.0,275.0,4.0,5.0,1.0,65.0,1.0,,3.0,1.0,25,1350,0.0,0.0,0.0,0.0,6,,Non flood zone,,7300,Boussu,Hainaut
4263,10548563,apartment,apartment,95000.0,60.0,4.0,1.0,,25.0,1.0,1.0,1.0,,0,0,,,,0.0,3,,,"Living area (residential, urban or rural)",6000,Charleroi,Hainaut
4264,10566864,house,house,199500.0,240.0,,3.0,1.0,30.0,1.0,,1.0,,50,100,0.0,0.0,1.0,,2,Gas,Non flood zone,Urban,8870,Kachtem,West Flanders
4265,10479152,apartment,apartment,239000.0,66.0,,2.0,1.0,23.0,1.0,,,,0,0,1.0,0.0,3.0,,6,Gas,Non flood zone,,8400,Zandvoorde,West Flanders
4266,10599188,house,house,169000.0,168.0,2.0,3.0,1.0,34.0,1.0,,1.0,1.0,14,25,,,2.0,,2,Gas,,"Living area (residential, urban or rural)",9320,Nieuwerkerken,East Flanders
4267,10457468,apartment,apartment,239000.0,82.0,,3.0,1.0,28.0,1.0,,,,4,0,,,3.0,,3,Electric,Non flood zone,,8450,Bredene,West Flanders
4268,10458486,house,house,,,2.0,3.0,1.0,,,,,1.0,0,0,,,,,3,,,,7120,Vellereille-Les-Brayeux,Hainaut
