NIS,median_gross_income
64025,"51,763"
64029,"58,235"
64034,"53,192"
64047,"54,223"
64056,"51,621"
64063,"55,271"
64065,"47,669"
64074,"49,256"
64075,"55,413"
64076,"58,417"
70000,"45,517"
71000,"46,531"
71002,"48,918"
71004,"45,355"
71011,"49,138"
71016,"41,217"
71017,"48,624"
71020,"48,919"
71022,"51,153"
71024,"51,048"
71034,"44,059"
71037,"48,993"
71045,"47,687"
71053,"45,660"
71057,"48,802"
71066,"50,215"
71067,"47,656"
71069,"48,406"
71070,"44,148"
72000,"44,619"
72003,"43,793"
72004,"45,045"
72018,"42,708"
72020,"44,997"
72021,"43,742"
72030,"47,586"
72037,"42,877"
72038,"46,796"
72039,"42,869"
72041,"43,781"
72042,"46,800"
72043,"45,420"
73000,"44,882"
73001,"49,813"
73006,"47,041"
73009,"45,925"
73022,"45,655"
73028,"63,367"
73032,"47,047"
73040,"49,336"
73042,"44,315"
73066,"47,086"
73083,"45,985"
73098,"47,610"
73107,"39,616"
73109,"44,802"
80000,"50,623"
81000,"57,069"
81001,"61,004"
81003,"70,993"
81004,"48,379"
81013,"51,973"
81015,"59,358"
82000,"49,301"
82003,"50,104"
82005,"51,213"
82009,"56,038"
82014,"48,063"
82032,"46,497"
82036,"53,067"
82037,"45,461"
82038,"49,242"
83000,"46,089"
83012,"43,913"
83013,"45,071"
83028,"45,278"
83031,"43,496"
83034,"46,828"
83040,"48,847"
83044,"45,326"
83049,"48,533"
83055,"49,614"
84000,"48,534"
84009,"46,788"
84010,"41,473"
84016,"42,240"
84029,"46,606"
84033,"56,115"
84035,"49,180"
84043,"51,412"
84050,"45,203"
84059,"45,861"
84068,"48,838"
84075,"45,681"
84077,"52,501"
85000,"52,904"
85007,"48,620"
85009,"63,029"
85011,"44,673"
85024,"48,659"
85026,"52,801"
85034,"58,318"
85039,"53,599"
85045,"48,952"
85046,"59,329"
85047,"48,744"
90000,"49,207"
91000,"46,814"
91005,"47,825"
91013,"44,021"
91015,"42,246"
91030,"49,186"
91034,"44,679"
91054,"42,145"
91059,"54,637"
91064,"49,574"
91072,"44,676"
91103,"47,258"
91114,"46,050"
91120,"47,985"
91141,"54,424"
91142,"38,331"
91143,"39,464"
92000,"51,344"
92003,"46,737"
92006,"58,802"
92035,"56,872"
92045,"55,460"
92048,"49,968"
92054,"57,097"
92087,"50,289"
92094,"50,269"
92097,"51,850"
92101,"56,052"
92114,"53,914"
92137,"42,629"
92138,"58,557"
92140,"47,922"
92141,"61,514"
92142,"57,802"
93000,"44,609"
93010,"45,894"
93014,"40,667"
93018,"41,405"
93022,"45,542"
93056,"43,524"
93088,"49,503"
93090,"38,507"
